🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
==((====))==  Unsloth: Fast Llama patching release 2024.6
   \\   /|    GPU: NVIDIA A100-SXM4-80GB. Max memory: 79.256 GB. Platform = Linux.
O^O/ \_/ \    Pytorch: 2.3.0+cu121. CUDA = 8.0. CUDA Toolkit = 12.1.
\        /    Bfloat16 = TRUE. Xformers = 0.0.26.post1. FA = False.
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
GPU = NVIDIA A100-SXM4-80GB. Max memory = 79.256 GB.
40.215 GB of memory reserved.
{'loss': 1.9337, 'grad_norm': 0.5705888867378235, 'learning_rate': 1e-05, 'epoch': 0.2}
{'loss': 1.8861, 'grad_norm': 0.17994281649589539, 'learning_rate': 2e-05, 'epoch': 0.4}
{'loss': 1.6906, 'grad_norm': 0.1826057881116867, 'learning_rate': 3e-05, 'epoch': 0.6}
{'loss': 1.2636, 'grad_norm': 0.2534737288951874, 'learning_rate': 4e-05, 'epoch': 0.8}
{'loss': 0.5408, 'grad_norm': 0.055349525064229965, 'learning_rate': 5e-05, 'epoch': 1.0}
{'loss': 0.3185, 'grad_norm': 0.042869120836257935, 'learning_rate': 4.997482666353287e-05, 'epoch': 1.19}
{'loss': 0.3052, 'grad_norm': 0.03010798618197441, 'learning_rate': 4.989935734988098e-05, 'epoch': 1.39}
{'loss': 0.2855, 'grad_norm': 0.029211394488811493, 'learning_rate': 4.977374404419837e-05, 'epoch': 1.59}
{'loss': 0.3109, 'grad_norm': 0.03384777531027794, 'learning_rate': 4.959823971496574e-05, 'epoch': 1.79}
{'loss': 0.2862, 'grad_norm': 0.028782662004232407, 'learning_rate': 4.937319780454559e-05, 'epoch': 1.99}
{'loss': 0.2878, 'grad_norm': 0.031186766922473907, 'learning_rate': 4.909907151739633e-05, 'epoch': 2.19}
{'loss': 0.2781, 'grad_norm': 0.031334128230810165, 'learning_rate': 4.877641290737884e-05, 'epoch': 2.39}
{'loss': 0.2877, 'grad_norm': 0.03161760792136192, 'learning_rate': 4.8405871765993433e-05, 'epoch': 2.59}
{'loss': 0.3003, 'grad_norm': 0.042151644825935364, 'learning_rate': 4.7988194313786275e-05, 'epoch': 2.79}
{'loss': 0.2667, 'grad_norm': 0.029722293838858604, 'learning_rate': 4.752422169756048e-05, 'epoch': 2.99}
{'loss': 0.269, 'grad_norm': 0.034011099487543106, 'learning_rate': 4.701488829641845e-05, 'epoch': 3.18}
{'loss': 0.2633, 'grad_norm': 0.03704597428441048, 'learning_rate': 4.6461219840046654e-05, 'epoch': 3.38}
{'loss': 0.2572, 'grad_norm': 0.032330844551324844, 'learning_rate': 4.586433134303257e-05, 'epoch': 3.58}
{'loss': 0.284, 'grad_norm': 0.0407000407576561, 'learning_rate': 4.522542485937369e-05, 'epoch': 3.78}
{'loss': 0.2706, 'grad_norm': 0.03066033311188221, 'learning_rate': 4.454578706170075e-05, 'epoch': 3.98}
{'loss': 0.2725, 'grad_norm': 0.02988477423787117, 'learning_rate': 4.382678665009028e-05, 'epoch': 4.18}
{'loss': 0.2574, 'grad_norm': 0.04221272096037865, 'learning_rate': 4.306987159568479e-05, 'epoch': 4.38}
{'loss': 0.2598, 'grad_norm': 0.03482908010482788, 'learning_rate': 4.227656622467162e-05, 'epoch': 4.58}
{'loss': 0.2628, 'grad_norm': 0.03927868232131004, 'learning_rate': 4.144846814849282e-05, 'epoch': 4.78}
{'loss': 0.2582, 'grad_norm': 0.03662754222750664, 'learning_rate': 4.058724504646834e-05, 'epoch': 4.98}
{'loss': 0.244, 'grad_norm': 0.0376373752951622, 'learning_rate': 3.969463130731183e-05, 'epoch': 5.17}
{'loss': 0.2515, 'grad_norm': 0.0452142059803009, 'learning_rate': 3.8772424536302564e-05, 'epoch': 5.37}
{'loss': 0.2517, 'grad_norm': 0.045160695910453796, 'learning_rate': 3.782248193514766e-05, 'epoch': 5.57}
{'loss': 0.2481, 'grad_norm': 0.04772019013762474, 'learning_rate': 3.6846716561824965e-05, 'epoch': 5.77}
{'loss': 0.2447, 'grad_norm': 0.043299149721860886, 'learning_rate': 3.5847093477938956e-05, 'epoch': 5.97}
{'loss': 0.2324, 'grad_norm': 0.06299634277820587, 'learning_rate': 3.4825625791348096e-05, 'epoch': 6.17}
{'loss': 0.221, 'grad_norm': 0.06735008955001831, 'learning_rate': 3.378437060203357e-05, 'epoch': 6.37}
{'loss': 0.2317, 'grad_norm': 0.06723073869943619, 'learning_rate': 3.272542485937369e-05, 'epoch': 6.57}
{'loss': 0.2314, 'grad_norm': 0.07107628881931305, 'learning_rate': 3.165092113916688e-05, 'epoch': 6.77}
{'loss': 0.2296, 'grad_norm': 0.08047192543745041, 'learning_rate': 3.056302334890786e-05, 'epoch': 6.97}
{'loss': 0.2097, 'grad_norm': 0.0890553817152977, 'learning_rate': 2.9463922369965917e-05, 'epoch': 7.16}
{'loss': 0.1871, 'grad_norm': 0.17377296090126038, 'learning_rate': 2.8355831645441388e-05, 'epoch': 7.36}
{'loss': 0.2045, 'grad_norm': 0.10956921428442001, 'learning_rate': 2.724098272258584e-05, 'epoch': 7.56}
{'loss': 0.192, 'grad_norm': 0.10734808444976807, 'learning_rate': 2.6121620758762877e-05, 'epoch': 7.76}
{'loss': 0.1986, 'grad_norm': 0.11650297790765762, 'learning_rate': 2.5e-05, 'epoch': 7.96}
{'loss': 0.1629, 'grad_norm': 0.14602519571781158, 'learning_rate': 2.3878379241237136e-05, 'epoch': 8.16}
{'loss': 0.1585, 'grad_norm': 0.1431531310081482, 'learning_rate': 2.2759017277414166e-05, 'epoch': 8.36}
{'loss': 0.1528, 'grad_norm': 0.13089033961296082, 'learning_rate': 2.164416835455862e-05, 'epoch': 8.56}
{'loss': 0.1469, 'grad_norm': 0.16704106330871582, 'learning_rate': 2.0536077630034086e-05, 'epoch': 8.76}
{'loss': 0.1515, 'grad_norm': 0.15172365307807922, 'learning_rate': 1.9436976651092144e-05, 'epoch': 8.96}
{'loss': 0.1224, 'grad_norm': 0.16241233050823212, 'learning_rate': 1.8349078860833123e-05, 'epoch': 9.15}
{'loss': 0.1001, 'grad_norm': 0.15398919582366943, 'learning_rate': 1.7274575140626318e-05, 'epoch': 9.35}
{'loss': 0.1025, 'grad_norm': 0.17824120819568634, 'learning_rate': 1.621562939796643e-05, 'epoch': 9.55}
{'loss': 0.1113, 'grad_norm': 0.1916249543428421, 'learning_rate': 1.5174374208651912e-05, 'epoch': 9.75}
{'loss': 0.1037, 'grad_norm': 0.2159540355205536, 'learning_rate': 1.4152906522061048e-05, 'epoch': 9.95}
{'loss': 0.075, 'grad_norm': 0.3113445043563843, 'learning_rate': 1.3153283438175034e-05, 'epoch': 10.15}
{'loss': 0.0719, 'grad_norm': 0.19009393453598022, 'learning_rate': 1.217751806485235e-05, 'epoch': 10.35}
{'loss': 0.0667, 'grad_norm': 0.1656022071838379, 'learning_rate': 1.122757546369744e-05, 'epoch': 10.55}
{'loss': 0.0643, 'grad_norm': 0.19729812443256378, 'learning_rate': 1.0305368692688174e-05, 'epoch': 10.75}
{'loss': 0.069, 'grad_norm': 0.23190174996852875, 'learning_rate': 9.412754953531663e-06, 'epoch': 10.95}
{'loss': 0.0545, 'grad_norm': 0.23692083358764648, 'learning_rate': 8.551531851507186e-06, 'epoch': 11.14}
{'loss': 0.047, 'grad_norm': 0.1799350082874298, 'learning_rate': 7.723433775328384e-06, 'epoch': 11.34}
{'loss': 0.0413, 'grad_norm': 0.16141988337039948, 'learning_rate': 6.930128404315214e-06, 'epoch': 11.54}
{'loss': 0.045, 'grad_norm': 0.1645907610654831, 'learning_rate': 6.173213349909729e-06, 'epoch': 11.74}
{'loss': 0.0452, 'grad_norm': 0.21498587727546692, 'learning_rate': 5.454212938299255e-06, 'epoch': 11.94}
{'loss': 0.0339, 'grad_norm': 0.13220740854740143, 'learning_rate': 4.7745751406263165e-06, 'epoch': 12.14}
{'loss': 0.0312, 'grad_norm': 0.1288800686597824, 'learning_rate': 4.135668656967434e-06, 'epoch': 12.34}
{'loss': 0.0325, 'grad_norm': 0.17532207071781158, 'learning_rate': 3.5387801599533475e-06, 'epoch': 12.54}
{'loss': 0.0301, 'grad_norm': 0.1789567619562149, 'learning_rate': 2.98511170358155e-06, 'epoch': 12.74}
{'loss': 0.0313, 'grad_norm': 0.15074151754379272, 'learning_rate': 2.475778302439524e-06, 'epoch': 12.94}
{'loss': 0.0282, 'grad_norm': 0.1428154557943344, 'learning_rate': 2.0118056862137357e-06, 'epoch': 13.13}
{'loss': 0.0238, 'grad_norm': 0.13355880975723267, 'learning_rate': 1.59412823400657e-06, 'epoch': 13.33}
{'loss': 0.0262, 'grad_norm': 0.14430375397205353, 'learning_rate': 1.2235870926211619e-06, 'epoch': 13.53}
{'loss': 0.0256, 'grad_norm': 0.13738149404525757, 'learning_rate': 9.009284826036691e-07, 'epoch': 13.73}
{'loss': 0.0264, 'grad_norm': 0.14350734651088715, 'learning_rate': 6.268021954544096e-07, 'epoch': 13.93}
{'loss': 0.0222, 'grad_norm': 0.12361165881156921, 'learning_rate': 4.0176028503425835e-07, 'epoch': 14.13}
{'loss': 0.0245, 'grad_norm': 0.11137686669826508, 'learning_rate': 2.262559558016325e-07, 'epoch': 14.33}
{'loss': 0.0229, 'grad_norm': 0.14138592779636383, 'learning_rate': 1.006426501190233e-07, 'epoch': 14.53}
{'loss': 0.0235, 'grad_norm': 0.11801321804523468, 'learning_rate': 2.5173336467135267e-08, 'epoch': 14.73}
{'loss': 0.0237, 'grad_norm': 0.12484938651323318, 'learning_rate': 0.0, 'epoch': 14.93}
{'train_runtime': 29860.739, 'train_samples_per_second': 0.404, 'train_steps_per_second': 0.025, 'train_loss': 0.24763865276177724, 'epoch': 14.93}
29860.739 seconds used for training.
497.68 minutes used for training.
Peak reserved memory = 56.453 GB.
Peak reserved memory for training = 16.238 GB.
Peak reserved memory % of max memory = 71.229 %.
