🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
==((====))==  Unsloth: Fast Llama patching release 2024.6
   \\   /|    GPU: NVIDIA A100-SXM4-80GB. Max memory: 79.256 GB. Platform = Linux.
O^O/ \_/ \    Pytorch: 2.3.0+cu121. CUDA = 8.0. CUDA Toolkit = 12.1.
\        /    Bfloat16 = TRUE. Xformers = 0.0.26.post1. FA = False.
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
GPU = NVIDIA A100-SXM4-80GB. Max memory = 79.256 GB.
49.473 GB of memory reserved.
{'loss': 1.3323, 'grad_norm': 31.892520904541016, 'learning_rate': 0.00019997292411794618, 'epoch': 0.22}
{'loss': 0.4753, 'grad_norm': 1.0681179761886597, 'learning_rate': 0.0001998917111338525, 'epoch': 0.44}
{'loss': 0.4544, 'grad_norm': 0.2133389413356781, 'learning_rate': 0.00019975640502598244, 'epoch': 0.66}
{'loss': 0.4256, 'grad_norm': 0.40725961327552795, 'learning_rate': 0.00019956707906498044, 'epoch': 0.88}
{'loss': 0.4064, 'grad_norm': 0.3064182698726654, 'learning_rate': 0.00019932383577419432, 'epoch': 1.1}
{'loss': 0.2987, 'grad_norm': 0.2467704862356186, 'learning_rate': 0.00019902680687415705, 'epoch': 1.33}
{'loss': 0.3162, 'grad_norm': 0.2592258155345917, 'learning_rate': 0.00019867615321125795, 'epoch': 1.55}
{'loss': 0.2874, 'grad_norm': 0.23332244157791138, 'learning_rate': 0.00019827206467064133, 'epoch': 1.77}
{'loss': 0.3089, 'grad_norm': 0.2123611867427826, 'learning_rate': 0.00019781476007338058, 'epoch': 1.99}
{'loss': 0.1305, 'grad_norm': 0.1937449723482132, 'learning_rate': 0.00019730448705798239, 'epoch': 2.21}
{'eval_loss': 0.5216227173805237, 'eval_runtime': 48.7619, 'eval_samples_per_second': 1.661, 'eval_steps_per_second': 0.226, 'epoch': 2.21}
{'loss': 0.1224, 'grad_norm': 0.23428626358509064, 'learning_rate': 0.00019674152194628638, 'epoch': 2.43}
{'loss': 0.1196, 'grad_norm': 0.23659804463386536, 'learning_rate': 0.0001961261695938319, 'epoch': 2.65}
{'loss': 0.1346, 'grad_norm': 0.2415907233953476, 'learning_rate': 0.0001954587632247732, 'epoch': 2.87}
{'loss': 0.1106, 'grad_norm': 0.2577555477619171, 'learning_rate': 0.00019473966425143292, 'epoch': 3.09}
{'loss': 0.0844, 'grad_norm': 0.21804377436637878, 'learning_rate': 0.00019396926207859084, 'epoch': 3.31}
{'loss': 0.3474, 'grad_norm': 0.38099637627601624, 'learning_rate': 0.00019314797389261424, 'epoch': 3.54}
{'loss': 0.0941, 'grad_norm': 0.5205451250076294, 'learning_rate': 0.00019227624443554425, 'epoch': 3.76}
{'loss': 0.794, 'grad_norm': 2.4694457054138184, 'learning_rate': 0.0001913545457642601, 'epoch': 3.98}
{'loss': 0.121, 'grad_norm': 20.28706932067871, 'learning_rate': 0.00019038337699485208, 'epoch': 4.2}
{'loss': 0.1008, 'grad_norm': 0.5926076769828796, 'learning_rate': 0.00018936326403234125, 'epoch': 4.42}
{'eval_loss': 0.611993670463562, 'eval_runtime': 48.6979, 'eval_samples_per_second': 1.663, 'eval_steps_per_second': 0.226, 'epoch': 4.42}
{'loss': 1.1941, 'grad_norm': 74.9463882446289, 'learning_rate': 0.00018829475928589271, 'epoch': 4.64}
{'loss': 9.8627, 'grad_norm': 3.1902267932891846, 'learning_rate': 0.00018717844136967624, 'epoch': 4.86}
{'loss': 8.4013, 'grad_norm': 80.2701416015625, 'learning_rate': 0.00018601491478953657, 'epoch': 5.08}
{'loss': 7.1401, 'grad_norm': 27.849390029907227, 'learning_rate': 0.0001848048096156426, 'epoch': 5.3}
{'loss': 6.6639, 'grad_norm': 7.265252113342285, 'learning_rate': 0.00018354878114129367, 'epoch': 5.52}
{'loss': 6.4769, 'grad_norm': 3.944833993911743, 'learning_rate': 0.00018224750952806624, 'epoch': 5.75}
{'loss': 7.4441, 'grad_norm': 696.167236328125, 'learning_rate': 0.00018090169943749476, 'epoch': 5.97}
{'loss': 8.7171, 'grad_norm': 9.72397518157959, 'learning_rate': 0.0001795120796494848, 'epoch': 6.19}
{'loss': 6.8642, 'grad_norm': 4.512788772583008, 'learning_rate': 0.00017807940266766593, 'epoch': 6.41}
{'loss': 6.3774, 'grad_norm': 2.82692551612854, 'learning_rate': 0.0001766044443118978, 'epoch': 6.63}
{'eval_loss': 6.347644805908203, 'eval_runtime': 47.8589, 'eval_samples_per_second': 1.692, 'eval_steps_per_second': 0.23, 'epoch': 6.63}
{'loss': 6.3359, 'grad_norm': 1.8699924945831299, 'learning_rate': 0.00017508800329814995, 'epoch': 6.85}
{'loss': 6.2471, 'grad_norm': 1.296265959739685, 'learning_rate': 0.0001735309008059829, 'epoch': 7.07}
{'loss': 6.2749, 'grad_norm': 2.070239305496216, 'learning_rate': 0.0001719339800338651, 'epoch': 7.29}
{'loss': 6.1351, 'grad_norm': 2.0758135318756104, 'learning_rate': 0.0001702981057425662, 'epoch': 7.51}
{'loss': 6.1509, 'grad_norm': 1.6663269996643066, 'learning_rate': 0.0001686241637868734, 'epoch': 7.73}
{'loss': 6.2215, 'grad_norm': 2.0736608505249023, 'learning_rate': 0.00016691306063588583, 'epoch': 7.96}
{'loss': 6.2083, 'grad_norm': 2.3621535301208496, 'learning_rate': 0.00016516572288214552, 'epoch': 8.18}
{'loss': 6.2156, 'grad_norm': 2.2736473083496094, 'learning_rate': 0.00016338309673987101, 'epoch': 8.4}
{'loss': 6.1207, 'grad_norm': 1.478169322013855, 'learning_rate': 0.0001615661475325658, 'epoch': 8.62}
{'loss': 6.1762, 'grad_norm': 1.6768927574157715, 'learning_rate': 0.00015971585917027862, 'epoch': 8.84}
{'eval_loss': 6.155467510223389, 'eval_runtime': 47.8543, 'eval_samples_per_second': 1.693, 'eval_steps_per_second': 0.23, 'epoch': 8.84}
{'loss': 6.1568, 'grad_norm': 1.4345405101776123, 'learning_rate': 0.00015783323361679864, 'epoch': 9.06}
{'loss': 6.1278, 'grad_norm': 1.9161170721054077, 'learning_rate': 0.0001559192903470747, 'epoch': 9.28}
{'loss': 6.1863, 'grad_norm': 1.7467010021209717, 'learning_rate': 0.0001539750657951513, 'epoch': 9.5}
{'loss': 6.1307, 'grad_norm': 1.8010473251342773, 'learning_rate': 0.00015200161279292155, 'epoch': 9.72}
{'loss': 6.1541, 'grad_norm': 1.2976117134094238, 'learning_rate': 0.00015000000000000001, 'epoch': 9.94}
{'loss': 6.1531, 'grad_norm': 1.1125059127807617, 'learning_rate': 0.00014797131132502465, 'epoch': 10.17}
{'loss': 6.153, 'grad_norm': 1.3531274795532227, 'learning_rate': 0.00014591664533870118, 'epoch': 10.39}
{'loss': 6.1304, 'grad_norm': 1.0604851245880127, 'learning_rate': 0.00014383711467890774, 'epoch': 10.61}
{'loss': 6.1619, 'grad_norm': 2.8406178951263428, 'learning_rate': 0.0001417338454481818, 'epoch': 10.83}
{'loss': 6.1269, 'grad_norm': 2.4844303131103516, 'learning_rate': 0.0001396079766039157, 'epoch': 11.05}
{'eval_loss': 6.1444854736328125, 'eval_runtime': 47.8536, 'eval_samples_per_second': 1.693, 'eval_steps_per_second': 0.23, 'epoch': 11.05}
{'loss': 6.1393, 'grad_norm': 0.8421786427497864, 'learning_rate': 0.00013746065934159123, 'epoch': 11.27}
{'loss': 6.1212, 'grad_norm': 1.8447400331497192, 'learning_rate': 0.00013529305647138687, 'epoch': 11.49}
{'loss': 6.11, 'grad_norm': 0.837024986743927, 'learning_rate': 0.0001331063417884958, 'epoch': 11.71}
{'loss': 6.1589, 'grad_norm': 1.5681217908859253, 'learning_rate': 0.00013090169943749476, 'epoch': 11.93}
{'loss': 6.1082, 'grad_norm': 1.6703028678894043, 'learning_rate': 0.00012868032327110904, 'epoch': 12.15}
{'loss': 6.1421, 'grad_norm': 1.2048496007919312, 'learning_rate': 0.00012644341620372023, 'epoch': 12.38}
{'loss': 6.1051, 'grad_norm': 0.8743235468864441, 'learning_rate': 0.00012419218955996676, 'epoch': 12.6}
{'loss': 6.1564, 'grad_norm': 0.6860032677650452, 'learning_rate': 0.00012192786241879033, 'epoch': 12.82}
{'loss': 6.0777, 'grad_norm': 0.8348091840744019, 'learning_rate': 0.00011965166095328301, 'epoch': 13.04}
{'loss': 6.1817, 'grad_norm': 1.0197914838790894, 'learning_rate': 0.00011736481776669306, 'epoch': 13.26}
{'eval_loss': 6.126128196716309, 'eval_runtime': 47.8739, 'eval_samples_per_second': 1.692, 'eval_steps_per_second': 0.23, 'epoch': 13.26}
